"","course_code","course_name","domestic_fee","international_fee","start_date","end_date","points","link"
"3500","ACCT346-21S1 (C)","Auditing","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT346&occurrence=21S1(C)&year=2021"
"3501","ACCT356-21S2 (C)","Advanced Auditing","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT356&occurrence=21S2(C)&year=2021"
"3502","ACCT358-21S1 (C)","Advanced Taxation","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT358&occurrence=21S1(C)&year=2021"
"3503","ACCT359-21S2 (C)","Further Issues in Advanced Taxation","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT359&occurrence=21S2(C)&year=2021"
"3504","ACCT390-21S1 (C)","Accounting Internship","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT390&occurrence=21S1(C)&year=2021"
"3505","ACCT390-21S2 (C)","Accounting Internship","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT390&occurrence=21S2(C)&year=2021"
"3506","ACCT614-21S1 (C)","Research Methodology and Epistemology","$1,985.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT614&occurrence=21S1(C)&year=2021"
"3507","ACCT623-21S2 (C)","Management Accounting Research","$992.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT623&occurrence=21S2(C)&year=2021"
"3508","ACCT624-21S2 (C)","Corporate Governance","$992.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT624&occurrence=21S2(C)&year=2021"
"3509","ACCT626-21S2 (C)","Advanced Issues in Tax Compliance","$992.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT626&occurrence=21S2(C)&year=2021"
"3510","ACCT634-21S1 (C)","Contemporary Issues in Taxation","$992.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT634&occurrence=21S1(C)&year=2021"
"3511","ACCT635-21S1 (C)","Special Topic","$992.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT635&occurrence=21S1(C)&year=2021"
"3512","ACCT648-21S1 (C)","Contemporary Issues in Financial Accounting","$992.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT648&occurrence=21S1(C)&year=2021"
"3513","ACCT658-21S1 (C)","Contemporary Research in Auditing","$992.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT658&occurrence=21S1(C)&year=2021"
"3514","ACCT659-21S2 (C)","Sustainability, Business, and Social and Environmental Accountability","$992.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT659&occurrence=21S2(C)&year=2021"
"3515","ACCT680-21A (C)","Research Project","$1,985.00","NULL","NULL","NULL","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT680&occurrence=21A(C)&year=2021"
